topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
534,PAL.1.1.1,1.1.1,Introduction to Ratios,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.1. Introduction to Ratios.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.1. Introduction to Ratios,1,1,1
553,PAL.1.1.2,1.1.2,Equivalent Ratios,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.2. Equivalent Ratios.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.2. Equivalent Ratios,2,2,2
552,PAL.1.1.3,1.1.3,Writing Ratios Using Fractions,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.3. Writing Ratios Using Fractions.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.3. Writing Ratios Using Fractions,5,5,3
563,PAL.1.1.4,1.1.4,Reasoning With Equivalent Ratios,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.4. Reasoning With Equivalent Ratios.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.4. Reasoning With Equivalent Ratios,6,6,4
3746,PAL.1.1.5,1.1.5,Further Reasoning With Equivalent Ratios,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.5. Further Reasoning With Equivalent Ratios.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.5. Further Reasoning With Equivalent Ratios,7,7,5
554,PAL.1.1.6,1.1.6,Ratio Tables,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.6. Ratio Tables.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.6. Ratio Tables,6,6,6
561,PAL.1.1.7,1.1.7,Graphing Ratios,1. Ratios & Percentages,1.1. Ratios,1. Ratios & Percentages/1.1. Ratios/Lessons/1.1.7. Graphing Ratios.md,1. Ratios & Percentages/1.1. Ratios/Source/1.1.7. Graphing Ratios,22,22,7
557,PAL.1.2.1,1.2.1,Unit Rates,1. Ratios & Percentages,1.2. Unit Rates,1. Ratios & Percentages/1.2. Unit Rates/Lessons/1.2.1. Unit Rates.md,1. Ratios & Percentages/1.2. Unit Rates/Source/1.2.1. Unit Rates,21,21,8
558,PAL.1.2.2,1.2.2,Solving Problems Using Unit Rates,1. Ratios & Percentages,1.2. Unit Rates,1. Ratios & Percentages/1.2. Unit Rates/Lessons/1.2.2. Solving Problems Using Unit Rates.md,1. Ratios & Percentages/1.2. Unit Rates/Source/1.2.2. Solving Problems Using Unit Rates,22,22,9
3593,PAL.1.2.3,1.2.3,Speed as a Unit Rate,1. Ratios & Percentages,1.2. Unit Rates,1. Ratios & Percentages/1.2. Unit Rates/Lessons/1.2.3. Speed as a Unit Rate.md,1. Ratios & Percentages/1.2. Unit Rates/Source/1.2.3. Speed as a Unit Rate,23,23,10
